Date,y1,y2,y3,y4,y5,y6,sum
22/01/2013,6,14,23,29,47,53,172
23/01/2013,7,18,28,29,31,42,155
26/01/2013,1,6,23,32,35,57,154
27/01/2013,1,3,20,21,25,33,103
30/01/2013,4,7,12,17,41,46,127
2/2/2013,1,15,39,42,43,45,185
3/2/2013,7,19,27,41,43,56,193
5/2/2013,12,22,34,46,53,55,222
6/2/2013,3,9,28,30,38,49,157
9/2/2013,12,29,32,46,51,52,222
10/2/2013,1,5,17,21,24,30,98
12/2/2013,17,19,25,31,37,40,169
13/02/2013,5,6,8,21,38,40,118
16/02/2013,27,30,37,43,48,49,234
17/02/2013,13,25,26,27,29,50,170
19/02/2013,6,17,29,39,41,46,178
20/02/2013,21,30,31,41,44,52,219
23/02/2013,20,24,27,28,37,54,190
24/02/2013,7,17,33,34,35,45,171
27/02/2013,1,3,5,21,30,38,98
2/3/2013,2,37,42,45,47,57,230
3/3/2013,23,27,33,45,49,55,232
5/3/2013,1,2,41,48,57,58,207
6/3/2013,12,14,31,34,37,43,171
9/3/2013,1,36,43,46,48,52,226
10/3/2013,6,7,22,30,34,43,142
13/03/2013,9,15,30,31,38,52,175
16/03/2013,4,19,24,42,49,53,191
17/03/2013,13,23,28,36,37,46,183
20/03/2013,17,18,27,42,45,48,197
23/03/2013,2,12,37,54,56,57,218
24/03/2013,2,16,21,31,41,46,157
26/03/2013,23,24,30,50,55,56,238
27/03/2013,2,3,9,30,31,32,107
30/03/2013,32,34,40,47,48,49,250
31/03/2013,20,32,39,41,52,53,237
2/4/2013,3,5,15,35,36,44,138
3/4/2013,11,14,18,19,44,51,157
6/4/2013,11,16,27,38,50,54,196
7/4/2013,11,18,21,25,47,58,180
10/4/2013,14,20,27,31,36,48,176
13/04/2013,2,27,31,38,54,55,207
14/04/2013,4,9,23,26,42,47,151
17/04/2013,5,22,35,42,43,56,203
20/04/2013,26,31,33,45,51,56,242
21/04/2013,1,21,25,38,41,52,178
24/04/2013,12,30,32,37,41,47,199
27/04/2013,22,23,35,40,46,56,222
28/04/2013,2,8,15,48,50,54,177
30/04/2013,5,27,41,45,50,54,222
1/5/2013,9,16,23,30,42,47,167
4/5/2013,10,19,21,33,40,57,180
5/5/2013,18,20,23,25,37,45,168
7/5/2013,5,23,24,29,39,43,163
8/5/2013,11,24,33,34,51,58,211
11/5/2013,6,20,23,25,34,44,152
12/5/2013,17,36,37,44,46,47,227
15/05/2013,13,30,42,44,49,52,230
18/05/2013,3,6,25,29,34,48,145
19/05/2013,19,37,40,45,48,49,238
22/05/2013,2,4,10,33,37,54,140
25/05/2013,17,29,34,53,55,57,245
26/05/2013,10,19,42,43,53,56,223
28/05/2013,8,16,20,43,48,54,189
29/05/2013,22,26,38,42,43,49,220
1/6/2013,12,15,20,29,37,52,165
2/6/2013,14,22,24,31,35,55,181
5/6/2013,1,7,9,33,37,48,135
8/6/2013,8,10,12,23,49,54,156
9/6/2013,1,10,25,29,36,50,151
12/6/2013,18,29,32,34,51,52,216
15/06/2013,4,14,25,48,51,58,200
16/06/2013,9,28,32,43,48,50,210
19/06/2013,1,5,6,17,20,23,72
22/06/2013,14,24,30,34,40,54,196
23/06/2013,14,25,32,44,56,57,228
25/06/2013,4,13,14,15,27,57,130
26/06/2013,5,10,14,18,24,55,126
29/06/2013,18,19,36,38,44,58,213
30/06/2013,5,9,15,38,56,57,180
2/7/2013,17,20,29,34,40,48,188
3/7/2013,2,25,26,33,35,36,157
6/7/2013,8,12,15,16,36,48,135
7/7/2013,14,34,37,44,46,52,227
10/7/2013,3,7,15,19,23,52,119
13/07/2013,9,20,21,25,31,50,156
14/07/2013,4,10,24,30,35,45,148
17/07/2013,19,21,40,43,52,58,233
20/07/2013,5,20,44,53,54,57,233
21/07/2013,8,15,19,32,34,37,145
24/07/2013,7,16,34,42,49,53,201
27/07/2013,11,14,23,41,47,49,185
28/07/2013,7,18,23,41,47,56,192
31/07/2013,4,7,14,31,39,51,146
3/8/2013,1,5,7,14,40,44,111
4/8/2013,3,15,21,34,47,56,176
7/8/2013,2,5,16,34,46,55,158
10/8/2013,1,3,5,29,44,48,130
11/8/2013,9,24,33,37,42,48,193
13/08/2013,2,9,11,36,41,57,156
14/08/2013,17,20,38,44,49,54,222
17/08/2013,13,23,41,48,49,57,231
18/08/2013,10,16,43,46,51,57,223
21/08/2013,2,17,30,34,39,57,179
24/08/2013,13,25,27,29,32,37,163
25/08/2013,7,26,38,42,45,52,210
27/08/2013,11,31,42,52,53,58,247
28/08/2013,6,15,16,20,39,57,153
31/08/2013,6,11,24,43,46,55,185
1/9/2013,7,23,32,34,49,51,196
3/9/2013,12,14,15,23,26,41,131
4/9/2013,5,9,12,14,15,16,71
7/9/2013,1,21,36,37,40,44,179
8/9/2013,3,17,21,29,47,55,172
11/9/2013,2,8,19,22,26,32,109
